zipcode,plus4_code,Count_ICE_Type,Count_PHEV_Type,Count_BEV_Type
90001,3608,1,0,0
90001,3609,10,0,0
90001,3610,12,0,0
90001,3611,15,0,0
90001,3612,18,0,0
90001,3613,23,0,0
90001,3615,11,0,0
90001,3617,7,0,0
90001,3618,15,0,0
90001,3619,25,0,0
90001,3620,28,0,0
90001,3621,37,0,0
90001,3622,16,0,0
90001,3623,38,0,0
90001,3624,31,0,0
90001,3625,27,0,0
90001,3626,26,0,0
90001,3627,29,0,0
90001,3628,16,0,0
90001,3629,24,0,0
90001,3630,2,0,0
90001,3631,1,0,0
90001,3632,6,0,0
90001,3633,3,0,0
90001,3634,13,0,0
90001,3635,3,0,0
90001,3637,4,0,0
90001,3638,2,0,0
90001,3643,5,0,0
90001,3644,3,0,0
90001,3645,7,0,0
90001,3646,7,0,0
90001,3647,1,0,0
90001,3648,1,0,0
90001,3649,5,0,0
90001,3651,6,0,0
90001,3652,3,0,0
90001,3654,2,0,0
90001,3655,14,0,0
90001,3656,4,0,0
90001,3657,2,0,0
90001,3658,19,0,0
90001,3659,11,0,0
90001,3660,3,0,0
90001,3661,15,0,0
90001,3662,1,0,0
90001,3663,3,0,0
90001,3664,7,0,0
90001,3701,17,0,0
90001,3703,9,0,0
90001,3704,8,0,0
90001,3705,4,0,0
90001,3706,3,0,0
90001,3710,14,0,0
90001,3711,14,0,0
90001,3712,19,0,0
90001,3717,8,0,0
90001,3718,15,0,0
90001,3719,15,0,0
90001,3720,10,0,0
90001,3725,13,0,0
90001,3726,6,0,0
90001,3727,10,0,0
90001,3728,10,0,0
90001,3732,9,0,0
90001,3744,3,0,0
90001,3749,1,0,0
90001,3750,7,0,0
90001,3751,9,0,0
90001,3753,5,0,0
90001,3754,5,0,0
90001,3757,6,0,0
90001,3758,3,0,0
90001,3759,6,0,0
90001,3760,9,0,0
90001,3764,3,0,0
90001,3765,8,0,0
90001,3766,11,0,0
90002,1000,8,0,0
90002,1001,22,0,0
90002,1002,32,0,0
90002,1003,1,0,0
90002,1004,29,0,0
90002,1005,17,0,0
90002,1006,4,0,0
90002,1007,3,0,0
90002,1008,6,0,0
90002,1009,3,0,0
90002,1010,15,0,0
90002,1011,14,0,0
90002,1012,3,0,0
90002,1013,21,0,0
90002,1014,17,0,0
90002,1015,7,0,0
90002,1016,33,0,0
90002,1017,15,0,0
90002,1018,3,0,0
90002,1019,20,0,0
90002,1020,34,0,0
90002,1021,5,0,0
90002,1022,17,0,0
90002,1023,3,0,0
90002,1024,20,0,0
90002,1025,6,0,0
90002,1027,21,0,0
90002,1028,23,0,0
90002,1029,28,0,0
90002,1030,24,0,0
90002,1032,6,0,0
90002,1033,4,0,0
90002,1034,17,0,0
90002,1035,7,0,0
90002,1036,10,0,0
90002,1037,3,0,0
90002,1038,10,0,0
90002,1039,2,0,0
90002,1040,5,0,0
90002,1041,4,0,0
90002,1042,6,0,0
90002,1043,1,0,0
90002,1044,10,0,0
90002,1045,3,0,0
90002,1046,6,0,0
90002,1047,1,0,0
90002,1049,1,0,0
90002,1051,3,0,0
90002,1053,12,0,0
90002,1054,6,0,0
90002,1056,7,0,0
90002,1058,3,0,0
90002,1060,7,1,0
90002,1062,3,0,0
90002,1064,2,0,0
90002,1066,10,0,0
90002,1070,2,0,0
90002,1072,1,0,0
90002,1073,4,0,0
90002,1101,24,0,0
90002,1102,24,0,0
90002,1103,34,0,0
90002,1104,21,0,0
90002,1107,10,0,0
90002,1108,31,0,0
90002,1109,28,0,0
90002,1110,17,0,0
90002,1111,1,0,0
90002,1114,3,0,0
90002,1115,9,0,0
90002,1116,6,0,0
90002,1117,16,0,0
90002,1118,12,0,0
90002,1119,4,0,0
90002,1120,6,0,0
90002,1125,1,0,0
90002,1126,8,0,0
90002,1127,3,0,0
90002,1128,3,0,0
90002,1129,3,0,0
90002,1130,4,0,0
90002,1131,6,0,0
90002,1132,8,0,0
90002,1133,12,0,0
90002,1134,5,0,0
